timestamp,mode,test_type,load_mbps,source_branch,destination_branch,source_host,destination_host,throughput_mbps,avg_delay_ms,packet_loss_percent,jitter_ms,udp_packet_loss_percent,test_tool,note
2026-05-05T20:29:23,mpls,baseline,,Branch1,Branch2,host1,user1,0.208,33.325,0.0,0.127,0.0,ping; iperf3 TCP; iperf3 UDP; traceroute,success
2026-05-05T20:29:41,mpls,baseline,,Branch1,Branch3,host2,svr1,0.208,39.618,0.0,0.138,0.0,ping; iperf3 TCP; iperf3 UDP; traceroute,success
2026-05-05T20:29:59,mpls,baseline,,Branch2,Branch3,user1,svr2,0.208,35.591,0.0,0.231,0.0,ping; iperf3 TCP; iperf3 UDP; traceroute,success
2026-05-05T20:30:16,mpls,baseline,,Branch1,Branch1,host1,host4,94.465,6.754,0.0,0.069,0.0,ping; iperf3 TCP; iperf3 UDP; traceroute,success
2026-05-05T20:30:34,mpls,baseline,,Branch2,Branch2,admin1,guest1,93.875,13.074,0.0,0.245,0.0,ping; iperf3 TCP; iperf3 UDP; traceroute,success
2026-05-05T20:30:51,mpls,baseline,,Branch3,Branch3,svr1,os1,94.068,10.784,0.0,0.12,0.0,ping; iperf3 TCP; iperf3 UDP; traceroute,success
2026-05-05T20:31:15,mpls,udp_load_sweep,5,Branch1,Branch2,host1,user1,,,,0.122,0.0,iperf3 UDP,success
2026-05-05T20:31:20,mpls,udp_load_sweep,20,Branch1,Branch2,host1,user1,,,,0.062,0.0,iperf3 UDP,success
2026-05-05T20:31:25,mpls,udp_load_sweep,50,Branch1,Branch2,host1,user1,,,,0.258,0.0,iperf3 UDP,success
2026-05-05T20:31:31,mpls,udp_load_sweep,80,Branch1,Branch2,host1,user1,,,,0.227,20.674,iperf3 UDP,success
2026-05-05T20:31:37,mpls,udp_load_sweep,120,Branch1,Branch2,host1,user1,,,,258.863,47.967,iperf3 UDP,success
2026-05-05T20:31:42,mpls,udp_load_sweep,5,Branch1,Branch3,host2,svr1,,,,0.127,0.0,iperf3 UDP,success
2026-05-05T20:31:47,mpls,udp_load_sweep,20,Branch1,Branch3,host2,svr1,,,,0.113,0.0,iperf3 UDP,success
2026-05-05T20:31:53,mpls,udp_load_sweep,50,Branch1,Branch3,host2,svr1,,,,0.323,1.997,iperf3 UDP,success
2026-05-05T20:31:58,mpls,udp_load_sweep,80,Branch1,Branch3,host2,svr1,,,,0.338,34.9,iperf3 UDP,success
2026-05-05T20:32:04,mpls,udp_load_sweep,120,Branch1,Branch3,host2,svr1,,,,0.216,53.264,iperf3 UDP,success
2026-05-05T20:32:10,mpls,udp_load_sweep,5,Branch2,Branch3,user1,svr2,,,,0.094,0.0,iperf3 UDP,success
2026-05-05T20:32:15,mpls,udp_load_sweep,20,Branch2,Branch3,user1,svr2,,,,0.134,0.0,iperf3 UDP,success
2026-05-05T20:32:20,mpls,udp_load_sweep,50,Branch2,Branch3,user1,svr2,,,,0.256,0.0,iperf3 UDP,success
2026-05-05T20:32:26,mpls,udp_load_sweep,80,Branch2,Branch3,user1,svr2,,,,297.368,24.222,iperf3 UDP,success
2026-05-05T20:32:31,mpls,udp_load_sweep,120,Branch2,Branch3,user1,svr2,,,,0.267,49.022,iperf3 UDP,success
